Read times - Voltage  graph;Voltage(V) - Voltage  graph;Read times - Current graph;Current(A) - Current graph;;;;
185;5,112;185;0,3269;;;;
186;5,112;186;0,3269;;;;
187;5,112;187;0,3249;;;;
188;5,112;188;0,3249;;;;
189;5,112;189;0,3086;;;;
190;5,116;190;0,3086;;;;
191;5,116;191;0,3045;;;;
192;5,115;192;0,3045;;;;
193;5,115;193;0,3251;;;;
194;5,113;194;0,3251;;;;
195;5,113;195;0,3224;;;;
196;5,112;196;0,3224;;;;
197;5,112;197;0,3277;;;;
198;5,112;198;0,3277;;;;
199;5,112;199;0,3243;;;;
200;5,112;200;0,3243;;;;
201;5,112;201;0,3286;;;;
202;5,113;202;0,3286;;;;
203;5,113;203;0,3253;;;;
204;5,113;204;0,3253;;;;
205;5,113;205;0,3296;;;;
206;5,113;206;0,3296;;;;
207;5,113;207;0,3049;;;;
208;5,116;208;0,3049;;;;
209;5,116;209;0,3092;;;;
210;5,116;210;0,3092;;;;
211;5,116;211;0,3228;;;;
212;5,113;212;0,3228;;;;
213;5,113;213;0,3259;;;;
214;5,112;214;0,3259;;;;
215;5,112;215;0,3243;;;;
216;5,112;216;0,3243;;;;
217;5,112;217;0,3285;;;;
218;5,112;218;0,3285;;;;
219;5,112;219;0,3241;;;;
220;5,112;220;0,3241;;;;
221;5,112;221;0,3288;;;;
222;5,112;222;0,3288;;;;
223;5,112;223;0,3241;;;;
224;5,112;224;0,3241;;;;
225;5,112;225;0,3098;;;;
226;5,117;226;0,3098;;;;
227;5,117;227;0,3047;;;;
228;5,115;228;0,3047;;;;
229;5,115;229;0,3273;;;;
230;5,113;230;0,3273;;;;
231;5,113;231;0,3222;;;;
232;5,113;232;0,3222;;;;
233;5,113;233;0,329;;;;
234;5,113;234;0,329;;;;
235;5,113;235;0,3251;;;;
236;5,113;236;0,3251;;;;
237;5,113;237;0,3288;;;;
238;5,113;238;0,3288;;;;
239;5,113;239;0,3251;;;;
240;5,112;240;0,3251;;;;
241;5,112;241;0,3288;;;;
242;5,112;242;0,3288;;;;
243;5,112;243;0,3041;;;;
244;5,116;244;0,3041;;;;
245;5,116;245;0,3084;;;;
246;5,112;246;0,3084;;;;
247;5,112;247;0,3218;;;;
248;5,113;248;0,3218;;;;
249;5,113;249;0,3263;;;;
250;5,112;250;0,3263;;;;
251;5,112;251;0,3249;;;;
252;5,113;252;0,3249;;;;
253;5,113;253;0,329;;;;
254;5,113;254;0,329;;;;
255;5,113;255;0,3249;;;;
256;5,113;256;0,3249;;;;
257;5,113;257;0,3294;;;;
258;5,113;258;0,3294;;;;
259;5,113;259;0,3255;;;;
260;5,115;260;0,3255;;;;
261;5,115;261;0,3088;;;;
262;5,117;262;0,3088;;;;
263;5,117;263;0,3047;;;;
264;5,113;264;0,3047;;;;
265;5,113;265;0,3263;;;;
266;5,113;266;0,3263;;;;
267;5,113;267;0,322;;;;
268;5,113;268;0,322;;;;
269;5,113;269;0,3285;;;;
270;5,112;270;0,3285;;;;
271;5,112;271;0,3251;;;;
272;5,113;272;0,3251;;;;
273;5,113;273;0,3294;;;;
274;5,112;274;0,3294;;;;
275;5,112;275;0,3245;;;;
276;5,112;276;0,3245;;;;
277;5,112;277;0,3285;;;;
278;5,114;278;0,3285;;;;
279;5,114;279;0,3049;;;;
280;5,117;280;0,3049;;;;
281;5,117;281;0,3088;;;;
282;5,113;282;0,3088;;;;
283;5,113;283;0,3224;;;;
284;5,113;284;0,3224;;;;
285;5,113;285;0,3265;;;;
286;5,113;286;0,3265;;;;
287;5,113;287;0,3249;;;;
288;5,113;288;0,3249;;;;
289;5,113;289;0,329;;;;
290;5,112;290;0,329;;;;
291;5,112;291;0,3243;;;;
292;5,112;292;0,3243;;;;
293;5,112;293;0,3294;;;;
294;5,113;294;0,3294;;;;
295;5,113;295;0,3249;;;;
296;5,113;296;0,3249;;;;
297;5,113;297;0,3088;;;;
298;5,116;298;0,3088;;;;
299;5,116;299;0,3041;;;;
300;5,114;300;0,3041;;;;
301;5,114;301;0,3269;;;;
302;5,113;302;0,3269;;;;
