Read times - Voltage  graph;Voltage(V) - Voltage  graph;Read times - Current graph;Current(A) - Current graph;;;;
810;5,118;810;0,3065;;;;
811;5,118;811;0,3062;;;;
812;5,114;812;0,3062;;;;
813;5,114;813;0,3245;;;;
814;5,115;814;0,3245;;;;
815;5,115;815;0,3234;;;;
816;5,113;816;0,3234;;;;
817;5,113;817;0,3263;;;;
818;5,114;818;0,3263;;;;
819;5,114;819;0,3251;;;;
820;5,114;820;0,3251;;;;
821;5,114;821;0,3269;;;;
822;5,114;822;0,3269;;;;
823;5,114;823;0,3253;;;;
824;5,112;824;0,3253;;;;
825;5,112;825;0,3254;;;;
826;5,115;826;0,3254;;;;
827;5,115;827;0,3051;;;;
828;5,116;828;0,3051;;;;
829;5,116;829;0,3054;;;;
830;5,114;830;0,3054;;;;
831;5,114;831;0,323;;;;
832;5,113;832;0,323;;;;
833;5,113;833;0,3232;;;;
834;5,113;834;0,3232;;;;
835;5,113;835;0,3251;;;;
836;5,113;836;0,3251;;;;
837;5,113;837;0,3267;;;;
838;5,114;838;0,3267;;;;
839;5,114;839;0,3253;;;;
840;5,113;840;0,3253;;;;
841;5,113;841;0,3267;;;;
842;5,114;842;0,3267;;;;
843;5,114;843;0,3263;;;;
844;5,116;844;0,3263;;;;
845;5,116;845;0,3071;;;;
846;5,118;846;0,3071;;;;
847;5,118;847;0,3055;;;;
848;5,114;848;0,3055;;;;
849;5,114;849;0,3241;;;;
850;5,114;850;0,3241;;;;
851;5,114;851;0,3238;;;;
852;5,113;852;0,3238;;;;
853;5,113;853;0,3257;;;;
854;5,113;854;0,3257;;;;
855;5,113;855;0,3255;;;;
856;5,113;856;0,3255;;;;
857;5,113;857;0,3256;;;;
858;5,114;858;0,3256;;;;
859;5,114;859;0,3255;;;;
860;5,113;860;0,3255;;;;
861;5,113;861;0,3257;;;;
862;5,118;862;0,3257;;;;
863;5,118;863;0,3049;;;;
864;5,116;864;0,3049;;;;
865;5,116;865;0,3067;;;;
866;5,115;866;0,3067;;;;
867;5,115;867;0,3235;;;;
868;5,114;868;0,3235;;;;
869;5,114;869;0,3271;;;;
870;5,115;870;0,3271;;;;
871;5,115;871;0,3255;;;;
872;5,114;872;0,3255;;;;
873;5,114;873;0,3271;;;;
874;5,114;874;0,3271;;;;
875;5,114;875;0,3251;;;;
876;5,114;876;0,3251;;;;
877;5,114;877;0,3273;;;;
878;5,114;878;0,3273;;;;
879;5,114;879;0,3247;;;;
880;5,116;880;0,3247;;;;
881;5,116;881;0,3057;;;;
882;5,117;882;0,3057;;;;
883;5,117;883;0,3061;;;;
884;5,113;884;0,3061;;;;
885;5,113;885;0,3235;;;;
886;5,115;886;0,3235;;;;
887;5,115;887;0,3245;;;;
888;5,113;888;0,3245;;;;
889;5,113;889;0,3267;;;;
890;5,113;890;0,3267;;;;
891;5,113;891;0,3247;;;;
892;5,113;892;0,3247;;;;
893;5,113;893;0,3267;;;;
894;5,113;894;0,3267;;;;
895;5,113;895;0,3245;;;;
896;5,113;896;0,3245;;;;
897;5,113;897;0,3267;;;;
898;5,118;898;0,3267;;;;
899;5,118;899;0,3039;;;;
900;5,117;900;0,3039;;;;
901;5,117;901;0,3245;;;;
902;5,115;902;0,3245;;;;
903;5,115;903;0,3226;;;;
904;5,114;904;0,3226;;;;
905;5,114;905;0,3279;;;;
906;5,115;906;0,3279;;;;
907;5,115;907;0,3249;;;;
908;5,114;908;0,3249;;;;
909;5,114;909;0,3285;;;;
910;5,114;910;0,3285;;;;
911;5,114;911;0,3245;;;;
912;5,114;912;0,3245;;;;
913;5,114;913;0,3283;;;;
914;5,114;914;0,3283;;;;
915;5,114;915;0,3237;;;;
916;5,117;916;0,3237;;;;
917;5,117;917;0,3065;;;;
918;5,118;918;0,3065;;;;
919;5,118;919;0,3218;;;;
920;5,113;920;0,3218;;;;
921;5,113;921;0,3247;;;;
922;5,114;922;0,3247;;;;
923;5,114;923;0,3243;;;;
924;5,113;924;0,3243;;;;
925;5,113;925;0,3277;;;;
926;5,115;926;0,3277;;;;
927;5,115;927;0,3249;;;;
928;5,113;928;0,3249;;;;
929;5,113;929;0,3281;;;;
930;5,115;930;0,3281;;;;
931;5,115;931;0,3245;;;;
932;5,114;932;0,3245;;;;
933;5,114;933;0,3094;;;;
934;5,119;934;0,3094;;;;
935;5,119;935;0,3041;;;;
936;5,118;936;0,3041;;;;
937;5,118;937;0,3257;;;;
938;5,116;938;0,3257;;;;
939;5,116;939;0,3218;;;;
940;5,116;940;0,3218;;;;
941;5,116;941;0,3265;;;;
942;5,116;942;0,3265;;;;
943;5,116;943;0,3237;;;;
944;5,116;944;0,3237;;;;
945;5,116;945;0,3269;;;;
946;5,116;946;0,3269;;;;
947;5,116;947;0,3237;;;;
948;5,116;948;0,3237;;;;
949;5,116;949;0,3275;;;;
950;5,116;950;0,3275;;;;
951;5,116;951;0,3032;;;;
952;5,12;952;0,3032;;;;
953;5,12;953;0,3081;;;;
954;5,121;954;0,3081;;;;
955;5,121;955;0,3214;;;;
956;5,117;956;0,3214;;;;
957;5,117;957;0,3257;;;;
958;5,117;958;0,3257;;;;
959;5,117;959;0,3243;;;;
960;5,117;960;0,3243;;;;
961;5,117;961;0,329;;;;
962;5,117;962;0,329;;;;
963;5,117;963;0,3245;;;;
964;5,117;964;0,3245;;;;
965;5,117;965;0,3286;;;;
966;5,118;966;0,3286;;;;
967;5,118;967;0,3245;;;;
968;5,117;968;0,3245;;;;
969;5,117;969;0,3086;;;;
970;5,121;970;0,3086;;;;
971;5,121;971;0,3033;;;;
972;5,117;972;0,3033;;;;
973;5,117;973;0,3253;;;;
974;5,118;974;0,3253;;;;
975;5,118;975;0,3216;;;;
976;5,118;976;0,3216;;;;
977;5,118;977;0,3281;;;;
978;5,117;978;0,3281;;;;
979;5,117;979;0,3235;;;;
980;5,117;980;0,3235;;;;
981;5,117;981;0,3275;;;;
982;5,116;982;0,3275;;;;
983;5,116;983;0,3237;;;;
984;5,117;984;0,3237;;;;
985;5,117;985;0,3267;;;;
986;5,12;986;0,3267;;;;
987;5,12;987;0,3037;;;;
988;5,12;988;0,3037;;;;
989;5,12;989;0,3061;;;;
990;5,116;990;0,3061;;;;
991;5,116;991;0,3218;;;;
992;5,118;992;0,3218;;;;
993;5,118;993;0,3255;;;;
994;5,117;994;0,3255;;;;
995;5,117;995;0,3259;;;;
996;5,117;996;0,3259;;;;
997;5,117;997;0,3255;;;;
998;5,116;998;0,3255;;;;
;5108,888;;321,4349;;;;Sleep Mode
